river_id,point_index,x,y
12,26,933.12,497.11
12,27,922.84,504.47
12,28,917.38,505.10
12,29,887.06,503.20
12,30,881.35,505.36
12,31,870.44,513.48
12,32,864.60,515.63
12,33,857.63,515.76
12,34,848.62,514.62
12,35,842.66,512.21
12,36,834.41,511.07
12,37,806.62,518.30
12,38,798.63,519.06
12,39,791.65,514.87
12,40,781.88,505.23
12,41,776.68,498.89
12,42,767.93,496.73
12,43,756.76,498.51
13,0,392.77,953.21
13,1,389.72,961.21
13,2,377.42,975.54
13,3,373.74,981.00
13,4,371.33,987.09
13,5,371.45,994.57
13,6,375.01,1013.60
13,7,373.74,1024.01
13,8,366.76,1042.02
13,9,359.53,1068.16
